id_poi;osm_id;nama;nama_en;nama_id;kategori;sub_kategori;latitude;longitude;province;district;subdistrict;village;postcode;alamat_jalan;nomor_jalan;alamat_lengkap;alamat_terstruktur;deskripsi;teks_gabungan;tahun_berdiri;operator;akses;kapasitas;heritage;jam_buka;harga_tiket;fasilitas;website;telepon;email;wikipedia;wikidata;has_deskripsi;persen_kelengkapan;jumlah_tags;raw_tags;kode_pos;full_address
11;('relation', 9123397);Museum Nasional;National Museum;Museum Nasional;tourism;museum;-6.176.119;106.821.687;Jawa;Jakarta Pusat;Gambir;Gambir;10110;Jalan Medan Merdeka Barat;12;nan;Jalan Medan Merdeka Barat, Kel. Gambir, Kec. Gambir, Jakarta Pusat, Jawa, 10110;;Nama: Museum Nasional. Kategori: tourism. Jenis: museum. Lokasi: Gambir, Jakarta Pusat, Jawa. Dikelola oleh: nan. Berdiri sejak: 1778. Jam Operasional: Tu-Th 09:00-18:00;;;;;;;;;;;;;;;;;;;
12;('relation', 19710311);Museum Betawi;nan;nan;tourism;museum;-6.338.552;1.068.252;Jawa;Jakarta Selatan;Jagakarsa;Srengseng Sawah;12640;nan;nan;nan;nan, Kel. Srengseng Sawah, Kec. Jagakarsa, Jakarta Selatan, Jawa, 12640;;Nama: Museum Betawi. Kategori: tourism. Jenis: museum. Lokasi: Jagakarsa, Jakarta Selatan, Jawa. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: nan. Tiket: nan;nan;nan;nan;-;-;nan;nan;-;nan;nan;-;nan;nan;FALSE;90.0;5;"{""name"": ""Museum Betawi"", ""tourism"": ""museum"", ""museum"": ""history"", ""building"": ""yes"", ""type"": ""multipolygon""}";nan;Museum Betawi, Jalan Kampung Bali, RW 08, Srengseng Sawah, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12640, Indonesia
13;('way', 120553975);Museum Sumpah Pemuda;Youth Pledge Museum;Museum Sumpah Pemuda;tourism;museum;-6.183.839;106.843.042;Jawa;Jakarta Pusat;Senen;Kwitang;10420;nan;nan;nan;nan, Kel. Kwitang, Kec. Senen, Jakarta Pusat, Jawa, 10420;en:Youth Pledge Museum;Nama: Museum Sumpah Pemuda. Kategori: tourism. Jenis: museum. Lokasi: Senen, Jakarta Pusat, Jawa. Deskripsi: en:Youth Pledge Museum. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: nan. Tiket: nan;nan;nan;nan;-;-;nan;nan;-;nan;nan;-;en:Youth Pledge Museum;Q12499673;TRUE;100.0;12;"{""name"": ""Museum Sumpah Pemuda"", ""tourism"": ""museum"", ""wikidata"": ""Q12499673"", ""wikipedia"": ""en:Youth Pledge Museum"", ""name:en"": ""Youth Pledge Museum"", ""name:id"": ""Museum Sumpah Pemuda"", ""building"": ""yes"", ""building:levels"": ""3"", ""building:roof"": ""tile"", ""building:structure"": ""plastered"", ""building:use"": ""museum"", ""building:walls"": ""brick""}";nan;Museum Sumpah Pemuda, Jalan Kramat Raya, RW 09, Kwitang, Senen, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10420, Indonesia
14;('way', 121706048);Museum Tekstil;Textile Museum;nan;tourism;museum;-618.797;10.680.961;Jawa;Jakarta Barat;Palmerah;Kota Bambu Selatan;11260;nan;nan;Jalan Ks Tubun No.8;nan, Kel. Kota Bambu Selatan, Kec. Palmerah, Jakarta Barat, Jawa, 11260;en:Textile Museum Jakarta;Nama: Museum Tekstil. Kategori: tourism. Jenis: museum. Lokasi: Palmerah, Jakarta Barat, Jawa. Deskripsi: en:Textile Museum Jakarta. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: Tu-Su 09:00-15:00. Tiket: nan;nan;nan;nan;-;-;Tu-Su 09:00-15:00;nan;-;nan;nan;-;en:Textile Museum (Jakarta);Q2800358;TRUE;100.0;22;"{""addr:city"": ""DKI Jakarta"", ""name"": ""Museum Tekstil"", ""opening_hours"": ""Tu-Su 09:00-15:00"", ""tourism"": ""museum"", ""wikidata"": ""Q2800358"", ""wikipedia"": ""en:Textile Museum (Jakarta)"", ""name:en"": ""Textile Museum"", ""tactile_paving"": ""no"", ""wheelchair"": ""no"", ""building"": ""yes"", ""building:levels"": ""1"", ""building:roof"": ""tile"", ""building:structure"": ""confined_masonry"", ""building:use"": ""Museum"", ""building:walls"": ""brick"", ""access:roof"": ""no"", ""addr:full"": ""Jalan Ks Tubun No.8"", ""admin_level"": ""4"", ""building:condition"": ""good"", ""building:floor"": ""ceramics"", ""capacity:persons"": ""50-100"", ""source"": ""HOT_InAWARESurvey_2017""}";nan;Museum Tekstil, Jalan Aipda Karel Satsuit Tubun, RW 01, Kota Bambu Selatan, Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11260, Indonesia
15;('way', 123379336);Museum Sasmita Loka Ahmad Yani;nan;nan;tourism;museum;-6.204.538;106.836.544;Jawa;Jakarta Pusat;Menteng;Menteng;10310;nan;nan;nan;nan, Kel. Menteng, Kec. Menteng, Jakarta Pusat, Jawa, 10310;en:Sasmita Loka Ahmad Yani Museum;Nama: Museum Sasmita Loka Ahmad Yani. Kategori: tourism. Jenis: museum. Lokasi: Menteng, Jakarta Pusat, Jawa. Deskripsi: en:Sasmita Loka Ahmad Yani Museum. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: nan. Tiket: nan;nan;nan;nan;-;-;nan;nan;-;nan;nan;-;en:Sasmita Loka Ahmad Yani Museum;Q2454010;TRUE;100.0;11;"{""name"": ""Museum Sasmita Loka Ahmad Yani"", ""tourism"": ""museum"", ""wikidata"": ""Q2454010"", ""wikipedia"": ""en:Sasmita Loka Ahmad Yani Museum"", ""wikipedia:en"": ""Sasmita Loka Ahmad Yani Museum"", ""building"": ""yes"", ""building:levels"": ""2"", ""building:roof"": ""tile"", ""building:structure"": ""reinforced_masonry"", ""building:use"": ""residential"", ""building:walls"": ""brick""}";nan;D58, Jalan Lembang, RW 04, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10310, Indonesia
16;('way', 153303422);Museum Minyak dan Gas Graha Widya Patra;nan;nan;tourism;museum;-630.224;106.905.206;Jawa;Jakarta Timur;Cipayung;Taman Mini Indonesia Indah (Tmii);13890;nan;nan;nan;nan, Kel. Taman Mini Indonesia Indah (Tmii), Kec. Cipayung, Jakarta Timur, Jawa, 13890;;Nama: Museum Minyak dan Gas Graha Widya Patra. Kategori: tourism. Jenis: museum. Lokasi: Cipayung, Jakarta Timur, Jawa. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: Sa-Th 09:00-16:00, Fr 09:00-18:00. Tiket: nan;nan;nan;nan;-;-;Sa-Th 09:00-16:00, Fr 09:00-18:00;nan;-;nan;nan;-;nan;nan;FALSE;90.0;4;"{""name"": ""Museum Minyak dan Gas Graha Widya Patra"", ""opening_hours"": ""Sa-Th 09:00-16:00, Fr 09:00-18:00"", ""tourism"": ""museum"", ""building"": ""yes""}";nan;Museum Minyak dan Gas Graha Widya Patra, Jalan Taman Mini Raya, Taman Mini Indonesia Indah (TMII), Cipayung, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jawa, 13890, Indonesia
17;('way', 155945936);Monumen Pancasila Sakti;nan;nan;tourism;museum;-6.288.818;106.907.574;Jawa;Jakarta Timur;Cipayung;Lubang Buaya;13810;nan;nan;nan;nan, Kel. Lubang Buaya, Kec. Cipayung, Jakarta Timur, Jawa, 13810;;Nama: Monumen Pancasila Sakti. Kategori: tourism. Jenis: museum. Lokasi: Cipayung, Jakarta Timur, Jawa. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: nan. Tiket: nan;nan;nan;nan;-;-;nan;nan;-;nan;nan;-;nan;nan;FALSE;90.0;2;"{""name"": ""Monumen Pancasila Sakti"", ""tourism"": ""museum""}";nan;Monumen Pancasila Sakti, Jalan Jamin, RW 09, Lubang Buaya, Cipayung, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jawa, 13810, Indonesia
18;('way', 156830022);Museum Satria Mandala;The Satria Mandala Museum and the Purbawisesa Waspada Museum;nan;tourism;museum;-6.231.467;106.818.642;Jawa;Jakarta Selatan;Mampang Prapatan;Kuningan Barat;12710;Jalan Gatot Subroto;14;nan;Jalan Gatot Subroto, Kel. Kuningan Barat, Kec. Mampang Prapatan, Jakarta Selatan, Jawa, 12710;;Nama: Museum Satria Mandala. Kategori: tourism. Jenis: museum. Lokasi: Mampang Prapatan, Jakarta Selatan, Jawa. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: Tu-Su 09:00-14:30. Tiket: nan;nan;nan;nan;-;-;Tu-Su 09:00-14:30;nan;-;nan;nan;-;nan;nan;FALSE;90.0;9;"{""addr:city"": ""South Jakarta"", ""addr:postcode"": ""12710"", ""addr:street"": ""Jalan Gatot Subroto"", ""name"": ""Museum Satria Mandala"", ""opening_hours"": ""Tu-Su 09:00-14:30"", ""tourism"": ""museum"", ""addr:housenumber"": ""14"", ""name:en"": ""The Satria Mandala Museum and the Purbawisesa Waspada Museum"", ""building"": ""yes""}";12710;Museum Satria Mandala, 14, Jalan Jenderal Gatot Subroto, RW 01, Kuningan Barat, Mampang Prapatan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12710, Indonesia
19;('way', 196953665);Bayt Al Quran dan Museum Islam Istiqlal;nan;nan;tourism;museum;-6.303.547;106.887.854;Jawa;Jakarta Timur;Cipayung;Taman Mini Indonesia Indah (Tmii);13820;nan;nan;nan;nan, Kel. Taman Mini Indonesia Indah (Tmii), Kec. Cipayung, Jakarta Timur, Jawa, 13820;;Nama: Bayt Al Quran dan Museum Islam Istiqlal. Kategori: tourism. Jenis: museum. Lokasi: Cipayung, Jakarta Timur, Jawa. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: Sa-Th 09:00-16:00, Fr 09:00-18:00. Tiket: nan;nan;nan;nan;-;-;Sa-Th 09:00-16:00, Fr 09:00-18:00;nan;-;nan;nan;-;nan;nan;FALSE;90.0;4;"{""name"": ""Bayt Al Quran dan Museum Islam Istiqlal"", ""opening_hours"": ""Sa-Th 09:00-16:00, Fr 09:00-18:00"", ""tourism"": ""museum"", ""building"": ""yes""}";nan;Bayt Al Quran dan Museum Islam Istiqlal, Gerbang 1 TMII, Taman Mini Indonesia Indah (TMII), Cipayung, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jawa, 13820, Indonesia
20;('way', 196953666);Museum Keprajuritan Indonesia;nan;nan;tourism;museum;-6.305.567;106.896.806;Jawa;Jakarta Timur;Cipayung;Taman Mini Indonesia Indah (Tmii);13890;nan;nan;nan;nan, Kel. Taman Mini Indonesia Indah (Tmii), Kec. Cipayung, Jakarta Timur, Jawa, 13890;;Nama: Museum Keprajuritan Indonesia. Kategori: tourism. Jenis: museum. Lokasi: Cipayung, Jakarta Timur, Jawa. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: Sa-Th 09:00-16:00, Fr 09:00-18:00. Tiket: nan;nan;nan;nan;-;-;Sa-Th 09:00-16:00, Fr 09:00-18:00;nan;-;nan;nan;-;nan;nan;FALSE;90.0;3;"{""name"": ""Museum Keprajuritan Indonesia"", ""opening_hours"": ""Sa-Th 09:00-16:00, Fr 09:00-18:00"", ""tourism"": ""museum""}";nan;Taman Mini Indonesia Indah, Jalan Laksmana Raya, Perumahan TMII, Taman Mini Indonesia Indah (TMII), Cipayung, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jawa, 13890, Indonesia
21;('way', 196953677);Museum Pusaka;nan;nan;tourism;museum;-6.305.244;106.895.853;Jawa;Jakarta Timur;Cipayung;Ceger;13890;nan;nan;nan;nan, Kel. Ceger, Kec. Cipayung, Jakarta Timur, Jawa, 13890;;Nama: Museum Pusaka. Kategori: tourism. Jenis: museum. Lokasi: Cipayung, Jakarta Timur, Jawa. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: Sa-Th 09:00-16:00, Fr 09:00-18:00. Tiket: nan;nan;nan;nan;-;-;Sa-Th 09:00-16:00, Fr 09:00-18:00;nan;-;nan;nan;-;nan;nan;FALSE;90.0;4;"{""name"": ""Museum Pusaka"", ""opening_hours"": ""Sa-Th 09:00-16:00, Fr 09:00-18:00"", ""tourism"": ""museum"", ""building"": ""yes""}";nan;Museum Pusaka, Jalan Mabes Hankam, RW 02, Ceger, Cipayung, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jawa, 13890, Indonesia
22;('way', 196953678);Dunia Serangga;nan;nan;tourism;museum;-6.305.794;106.895.406;Jawa;Jakarta Timur;Cipayung;Ceger;13890;nan;nan;nan;nan, Kel. Ceger, Kec. Cipayung, Jakarta Timur, Jawa, 13890;;Nama: Dunia Serangga. Kategori: tourism. Jenis: museum. Lokasi: Cipayung, Jakarta Timur, Jawa. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: Sa-Th 09:00-16:00, Fr 09:00-18:00. Tiket: nan;nan;nan;nan;-;-;Sa-Th 09:00-16:00, Fr 09:00-18:00;nan;-;nan;nan;-;nan;nan;FALSE;90.0;4;"{""name"": ""Dunia Serangga"", ""opening_hours"": ""Sa-Th 09:00-16:00, Fr 09:00-18:00"", ""tourism"": ""museum"", ""building"": ""yes""}";nan;Dunia Serangga, Jalan Mabes Hankam, RW 02, Ceger, Cipayung, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jawa, 13890, Indonesia
23;('way', 196953680);Museum Transportasi;nan;nan;tourism;museum;-6.304.959;106.898.386;Jawa;Jakarta Timur;Cipayung;Taman Mini Indonesia Indah (Tmii);13890;nan;nan;nan;nan, Kel. Taman Mini Indonesia Indah (Tmii), Kec. Cipayung, Jakarta Timur, Jawa, 13890;;Nama: Museum Transportasi. Kategori: tourism. Jenis: museum. Lokasi: Cipayung, Jakarta Timur, Jawa. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: Sa-Th 09:00-16:00, Fr 09:00-18:00. Tiket: nan;nan;nan;nan;-;-;Sa-Th 09:00-16:00, Fr 09:00-18:00;nan;-;nan;nan;-;nan;nan;FALSE;90.0;4;"{""name"": ""Museum Transportasi"", ""opening_hours"": ""Sa-Th 09:00-16:00, Fr 09:00-18:00"", ""tourism"": ""museum"", ""building"": ""yes""}";nan;Museum Transportasi, Jalan Taman Mini, Taman Mini Indonesia Indah (TMII), Cipayung, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jawa, 13890, Indonesia
24;('way', 196953681);Museum Transportasi;nan;nan;tourism;museum;-6.304.681;106.898.675;Jawa;Jakarta Timur;Cipayung;Taman Mini Indonesia Indah (Tmii);13890;nan;nan;nan;nan, Kel. Taman Mini Indonesia Indah (Tmii), Kec. Cipayung, Jakarta Timur, Jawa, 13890;;Nama: Museum Transportasi. Kategori: tourism. Jenis: museum. Lokasi: Cipayung, Jakarta Timur, Jawa. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: Sa-Th 09:00-16:00, Fr 09:00-18:00. Tiket: nan;nan;nan;nan;-;-;Sa-Th 09:00-16:00, Fr 09:00-18:00;nan;-;nan;nan;-;nan;nan;FALSE;90.0;4;"{""name"": ""Museum Transportasi"", ""opening_hours"": ""Sa-Th 09:00-16:00, Fr 09:00-18:00"", ""tourism"": ""museum"", ""building"": ""yes""}";nan;Taman Mini Indonesia Indah, Jalan Laksmana Raya, Perumahan TMII, Taman Mini Indonesia Indah (TMII), Cipayung, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jawa, 13890, Indonesia
